,client_id,Frequency0,Items0,Monetary0
0,000b598bb8fa552507ee02a4d4096682,4,31.16883116883117,5742.0
1,000f0fb0885f4f2a0366cfdab3bce390,1,60.0,722.0
2,00125fe3b05ba65e08e6727837059786,1,0.0,121.0
3,0025266d85302d590f78356fc756cb33,1,100.0,89.0
4,00394c180574d1719172676517e087ea,2,39.58333333333333,3905.0
5,003aa9d9fc68df348bb36f4183fd25db,2,0.0,1968.0
6,003bdf063fd140c2f4b0270ee72e908a,1,36.17021276595745,7913.1
7,003e1b039a24bf1a59739603a7285c24,5,42.10526315789473,2953.0
8,003fd0982c547375c04e9075ade25ea9,4,44.18604651162791,3367.0
9,0049ec94684ed5a338738e3c8072c0ec,2,70.12987012987013,5060.0
10,00519e10e482f70d94d2395f3459b952,2,47.91666666666667,6174.0
11,005740df41b6f960037de9bd45f184c6,1,0.0,374.0
12,0059129770743d2bce45e555283c06b8,1,0.0,134.0
13,005aed5784c2930d012762fa1e4c5733,1,8.333333333333332,1109.0
14,005d8c4b703d1ec3e467a55fb5093e4a,5,48.06201550387597,7003.0
15,0062590ec5cca5fc92d2a4254bc4feaa,2,30.909090909090907,6257.0
16,0064cf2a5f8e8921a36dfd26eabd926b,1,80.0,948.0
17,006f9c768d5710605f468c3efb37f7c1,1,27.27272727272727,3943.0
18,0076d5ce0d002162b725217d9c950c5d,1,30.434782608695656,2280.0
19,0080367d1572f54e17444ce2eb8263e1,2,50.0,1755.0
20,0080de77607ec3a65e18f4bd5bf9c55e,4,23.52941176470588,1719.0
21,0083be753bc21ab5bd067f2b5942b041,2,25.0,225.0
22,00875669f6f0d2aaaa75a1b3f324618b,1,31.818181818181817,1806.0
23,0088b20c059d6f920c8398945a8bde59,3,34.04255319148936,4643.49
24,008f114260f64a877e1481facda037e0,2,30.434782608695656,2982.0
25,0093a09fefb6266a774a37cf024d3d6c,1,0.0,1711.0
26,0095bfd9c3ea5f509a40b06fdd7217ae,3,41.17647058823529,1738.0
27,009ab8148630220ae3a26dd86b89a2ca,1,72.72727272727273,798.0
28,009d8d95689557f60edf09dc67e5b490,1,52.0,1694.0
29,00a5da0a21e5006a438aa6949794ab81,2,13.333333333333334,2017.0
30,00aa6208fc2051cac6b8c9308bdb878a,1,27.27272727272727,2137.0
31,00aad79d2ae4375af93b640d24bedbca,1,31.03448275862069,3466.0
32,00ad0f13156684a0b18a15a7eafede66,3,25.0,2850.0
33,00c0021b07265d1c658e6675b6031f5d,2,38.095238095238095,3578.0
34,00ca4517f41ebc5cf1fe5b7f5b2c742a,1,45.45454545454545,938.0
35,00cb2d287c9055eb5766c21f144bd681,1,66.66666666666666,416.0
36,00cc6aaf43cee7d13b1f7ac75f19b9fd,3,44.44444444444444,4232.36
37,00d4a9c6c0ef5248da37156c862acede,3,27.77777777777778,3111.63
38,00d801728caf81f101f42d223cc5a4bf,1,50.0,192.03
39,00dfd1dab4ff6ae0c21da1a85c361e80,1,100.0,1469.0
40,00e1a6189f5b9ddde8041f450b0d8483,1,28.888888888888886,4927.0
41,00e4edcb55575fb8d4074650754854ce,4,38.88888888888889,1214.18
42,00e6f14db2ad47ffa1084f27dddd1af6,3,26.666666666666668,2764.0
43,00e7469cbfd286267003d12e136821de,4,31.57894736842105,3391.06
44,00eed474c14f9b22aec058bc39e5c6f3,3,19.047619047619047,4016.0
45,00f8817b8a9e47c148f2c097f92df1c3,4,32.0,1457.94
46,00fbc22b589ec35ccdfd431672ccf7da,3,33.33333333333333,5340.0
47,00ff79b174aeedd629f99c23fc13dc5d,1,19.35483870967742,2434.0
48,0101a525b25400bc972e06655d65fc0d,5,19.51219512195122,5074.0
49,010222f02a056a054c9ee6be06b2154f,2,42.857142857142854,364.0
50,01052baba6a7e56c965a13198964fa7c,3,51.42857142857142,2836.0
51,010bfb6072995d7dafdc5e814aeab1d0,1,52.94117647058824,1316.82
52,010d23a3f8e4071dfe829d9684d40b6e,3,60.0,4259.0
53,0110371e62e5060f62e80adb61f2847b,2,14.285714285714285,959.28
54,01190776bec41cdf11d12c0517c40f91,4,23.728813559322035,4650.0
55,011985e773ed28af623a306581150b9c,4,20.0,3015.51
56,011ab0219b8e39a243fc3fdf40aa2623,2,18.181818181818183,1187.0
57,0123b6aea8ff4d0d9eace3cb04809d01,5,44.44444444444444,3950.0099999999998
58,0126698bf0852a3c3912153008ad3284,1,34.375,3722.0
59,012b682b4ead97e70fa4997834fd11bf,3,29.545454545454547,6061.0
60,012d4ac655574bf4a121a29080e04b9d,1,72.72727272727273,1752.0
61,0135dd12f71f1cdfeaedbcb0ba97a940,3,10.344827586206897,1677.0
62,013cb4ac6e134e39f9f5794750677b73,3,42.22222222222222,3212.93
63,0141c75b42a2cb1d72742ae8eae6945c,2,50.0,2096.0
64,0148cd60d16150c24baf8da5c05d95eb,1,83.33333333333334,538.8199999999999
65,014ae63ca75a85be364c4b9b3db0ca74,4,47.82608695652174,1962.99
