,client_id,Frequency10,Items10,Monetary10
0,00053df5878f08fff64bb6d19d857bdb,3,2.0,323.0
1,000b598bb8fa552507ee02a4d4096682,2,3.0,681.0
2,00125fe3b05ba65e08e6727837059786,4,1.0,284.02
3,001ade57055e272b4dfd41b701710e35,1,6.0,1594.0
4,0025266d85302d590f78356fc756cb33,1,8.0,1853.3400000000001
5,00394c180574d1719172676517e087ea,2,23.0,3231.0
6,003fd0982c547375c04e9075ade25ea9,1,6.0,1349.51
7,004765e3a80f8b1d0cd3f45a851e2783,4,16.0,2883.0
8,004dd2b6941e11ae0340c97607a759a2,1,17.0,3290.0
9,00519e10e482f70d94d2395f3459b952,2,17.0,3737.0
10,005740df41b6f960037de9bd45f184c6,1,1.0,1076.0
11,005d8c4b703d1ec3e467a55fb5093e4a,4,56.0,9328.0
12,005e34417f2e3a183788b7e658f42105,5,16.0,5050.9
13,00608eddd0da408d5825d5f685d9b17c,2,5.0,738.0
14,0062590ec5cca5fc92d2a4254bc4feaa,2,11.0,1561.0
15,00698aea5b915a68244728781d831e4c,1,3.0,299.0
16,006b83739e32337be0a7258238813e8d,3,9.0,4230.16
17,006d7d214b73b00e64a83f8147e8c1af,1,0.0,1833.0
18,00723f2d1d215e7eb1cee3cc55ec0e1a,5,55.0,17627.93
19,0076be9b8aab85eb8264692e02322f6a,2,31.0,7109.030000000001
20,0078f950123e1995b103faf24e65f844,1,11.0,3528.44
21,007aec8a8d529c7e7cdf56cd4f2f8263,3,24.0,7533.41
22,007f1d482f613e7e5fb74c86b3349ce0,2,2.0,214.0
23,0080adf996e601e837161a1464f4425d,1,6.0,2435.0
24,0080de77607ec3a65e18f4bd5bf9c55e,3,2.0,1365.0
25,0093c001c01fdd76f6892db2e25cff53,2,9.0,3599.0099999999998
26,0095bfd9c3ea5f509a40b06fdd7217ae,1,0.0,599.0
27,009cae6b43b6e55890a9064bcb795324,9,40.0,15325.24
28,009d078a50c98591da51e79cae55ba2a,1,0.0,351.0
29,009f3126936875d007202aa2cb474cf3,2,5.0,3802.0
30,00a5538a671c122db0275b451faceaa2,3,3.0,1625.0
31,00a9b96ebe4561c5812016d688118591,2,1.0,571.0
32,00aa6208fc2051cac6b8c9308bdb878a,1,2.0,888.0
33,00aad79d2ae4375af93b640d24bedbca,2,11.0,5152.0
34,00ad0f13156684a0b18a15a7eafede66,2,12.0,2151.0
35,00b588bfc715047d28af89d354b517d1,2,3.0,722.0
36,00b6cc3545ae4575e4121a307a4bb715,1,1.0,155.0
37,00bb6a4443ba9e9353126632b311f59c,2,15.0,3267.0
38,00c0021b07265d1c658e6675b6031f5d,1,2.0,659.0
39,00c2fa4878ff9468ae178a9e87172e79,1,3.0,734.48
40,00cb2d287c9055eb5766c21f144bd681,2,9.0,2279.0
41,00ce53e9ddc5dc99bc7b33d460f6d9a7,1,9.0,2142.0
42,00d801728caf81f101f42d223cc5a4bf,1,2.0,745.0
43,00dbfd7b587e2e9e15122203d952b76e,3,33.0,5152.0
44,00dfd1dab4ff6ae0c21da1a85c361e80,1,18.0,6522.01
45,00e42f511e3c450a8f3accea2007c54b,1,2.0,1404.0
46,00e46dd7ee691da825485348f4b714bd,1,24.0,6555.0
47,00e6f14db2ad47ffa1084f27dddd1af6,1,13.0,1847.0
48,00e7469cbfd286267003d12e136821de,4,36.0,6441.1
49,00eed474c14f9b22aec058bc39e5c6f3,2,30.0,8043.0
50,00f3d4aced6f922e7a78dc2c9c342de9,1,10.0,1492.0
51,00f8817b8a9e47c148f2c097f92df1c3,2,8.0,1646.0
52,00fc4b892de6e605b01753e77c07606f,1,2.0,447.0
53,0103d6c41b2f7fb7456e55d3bdd51cb0,2,1.0,333.3
54,01052baba6a7e56c965a13198964fa7c,2,35.0,7304.0
55,0110371e62e5060f62e80adb61f2847b,1,5.0,1066.0
56,01155e271024f1d07b712c6db5dab377,1,5.0,754.0
57,011985e773ed28af623a306581150b9c,2,0.0,1458.0
58,0126698bf0852a3c3912153008ad3284,2,6.0,2045.48
59,01272a794553888e2d686f6c4c6bfbdd,1,0.0,49.0
60,012a4902a17083e35c09ea058ef16ac6,3,6.0,1529.0
61,012b682b4ead97e70fa4997834fd11bf,1,5.0,1050.0
62,012d4ac655574bf4a121a29080e04b9d,1,18.0,4149.35
63,0132c6d2169585f82c568e79a66368b2,3,18.0,4801.0
64,0135dd12f71f1cdfeaedbcb0ba97a940,1,3.0,1138.0
65,0148cd60d16150c24baf8da5c05d95eb,1,8.0,1416.0
66,014961c24b58dab2aef1db8508825570,1,9.0,2789.0099999999998
67,014e8416805e7a8098c4c999f0f916e6,2,13.0,2576.0
68,014ebfe80db23a18e451e58bca0c5b32,2,6.0,1117.0
69,01518165e8badd0c3cf8e84de01e9ccb,1,8.0,1161.0
